common_name,scientific_name,country,habitat
,Eryngium integrifolium var. lanceolatum,United States,coastal
,Eryngium ludovicianum,United States,grasslands; coastal
Sea-holly,Eryngium maritimum,Lebanon,
Sea-holly,Eryngium maritimum,Ukraine,
Mathias' eryngo,Eryngium mathiasiae,United States,water
,Eryngium mississippiense,United States,
,Eryngium ombrophilum,Brazil,
,Eryngium ovinum,Australia,
,Eryngium pandanifolium,Brazil,
,Eryngium paniculatum,Argentina,
,Eryngium paniculatum,Brazil,
,Eryngium paniculatum,Chile,
Pendleton's eryngo,Eryngium pendletonense,United States,grasslands; coastal; shrubland
,Eryngium pinnatifidum,Australia,
Tuolumne eryngo,Eryngium pinnatisectum,United States,
delta eryngo,Eryngium racemosum,United States,
spinysepal eryngo,Eryngium spinosepalum,United States,
coyotethistle,Eryngium vaseyi,United States,
button eryngo,Eryngium yuccifolium,United States,grasslands
cascade wallflower,Erysimum arenicola,Canada,mountains
cascade wallflower,Erysimum arenicola,United States,mountains
western wallflower,Erysimum asperum,Canada,grasslands
western wallflower,Erysimum asperum,Mexico,grasslands
western wallflower,Erysimum asperum,United States,grasslands
,Erysimum baeticum,Spain,mountains; forest; shrubland
,Erysimum caboverdeanum,Cape Verde,
,Erysimum cazorlense,Spain,mountains; forest; shrubland
,Erysimum fitzii,Spain,
San Francisco wallflower,Erysimum franciscanum,United States,shrubland
,Erysimum gomez-campoi,Spain,
Mustard,Erysimum kykkoticum,Cyprus,mountains; water; forest
,Erysimum mediohispanicum,Spain,mountains; forest; shrubland
Menzies' wallflower,Erysimum menziesii,United States,coastal
,Erysimum merxmuelleri,Portugal,
,Erysimum merxmuelleri,Spain,
,Erysimum nervosum,Algeria,mountains; forest; shrubland
,Erysimum nervosum,Morocco,mountains; forest; shrubland
,Erysimum nervosum,Tunisia,mountains; forest; shrubland
,Erysimum nevadense,Spain,grasslands; mountains; shrubland
,Erysimum popovii,Spain,mountains
,Erysimum redowskii,Canada,
,Erysimum redowskii,Finland,
,Erysimum redowskii,Norway,
,Erysimum redowskii,Russia,
,Erysimum redowskii,Sweden,
,Erysimum redowskii,United States,
spreading wallflower,Erysimum repandum,Lebanon,
,Erysimum rondae,Spain,
,Erysimum scoparium,Spain,
,Erysimum siliculosum,China,coastal
,Erysimum siliculosum,Kazakhstan,coastal
,Erysimum siliculosum,Russia,coastal
,Erysimum siliculosum,Turkmenistan,coastal
Santa Cruz wallflower,Erysimum teretifolium,United States,mountains; shrubland
,Erythranthe arenaria,United States,mountains; water
,Erythranthe barbata,United States,mountains
,Erythranthe bicolor,United States,
Brewer's monkeyflower,Erythranthe breweri,Canada,
Brewer's monkeyflower,Erythranthe breweri,United States,
cardinal monkey flower,Erythranthe cardinalis,Canada,
cardinal monkey flower,Erythranthe cardinalis,Mexico,
cardinal monkey flower,Erythranthe cardinalis,United States,
,Erythranthe cuprea,Chile,
,Erythranthe eastwoodiae,Mexico,desert
,Erythranthe eastwoodiae,United States,desert
,Erythranthe erubescens,United States,
,Erythranthe floribunda,United States,mountains
,Erythranthe gemmipara,United States,grasslands; mountains; forest
,Erythranthe grandis,United States,
,Erythranthe guttata,Canada,
,Erythranthe guttata,United States,
,Erythranthe hymenophylla,United States,desert; water
,Erythranthe inflatula,United States,
,Erythranthe laciniata,United States,
Lewis' monkeyflower,Erythranthe lewisii,Canada,
Lewis' monkeyflower,Erythranthe lewisii,United States,
,Erythranthe lutea,Argentina,
,Erythranthe lutea,Chile,
,Mimulus michiganensis,United States,
,Erythranthe moschata,Canada,
,Erythranthe moschata,United States,
,Erythranthe naiandina,Chile,
Kaweah monkeyflower,Erythranthe norrisii,United States,water; forest; shrubland
,Erythranthe nudata,United States,water
,Erythranthe palmeri,Mexico,desert
,Erythranthe palmeri,United States,desert
,Erythranthe parishii,Mexico,mountains; water
,Erythranthe parishii,United States,mountains; water
,Erythranthe primuloides,United States,
,Erythranthe pulsiferae,United States,water
,Erythranthe suksdorfii,Canada,
,Erythranthe suksdorfii,United States,
,Erythrina americana,Mexico,
,Erythrina ankaranensis,Madagascar,
,Erythrina burana,Ethiopia,
,Erythrina chiapasana,Mexico,
coral erythrina,Erythrina corallodendron,Dominican Republic,
coral erythrina,Erythrina corallodendron,Haiti,
coral erythrina,Erythrina corallodendron,Jamaica,
coral erythrina,Erythrina corallodendron,United States,
Flame coral tree,Erythrina coralloides,Mexico,
Cockspur Coral Tree,Erythrina crista-galli,Argentina,
Cockspur Coral Tree,Erythrina crista-galli,Brazil,
Cockspur Coral Tree,Erythrina crista-galli,Paraguay,
Cockspur Coral Tree,Erythrina crista-galli,Uruguay,
,Erythrina edulis,Bolivia,
,Erythrina edulis,Colombia,
,Erythrina edulis,Peru,
cock's spur,Erythrina eggersii,United States,
,Erythrina elenae,Cuba,
,Erythrina euodiphylla,Indonesia,
,Erythrina falcata,Argentina,forest
,Erythrina falcata,Brazil,forest
,Erythrina falcata,Paraguay,forest
,Erythrina falcata,Uruguay,forest
coralbean,Erythrina flabelliformis,Mexico,
coralbean,Erythrina flabelliformis,United States,
bucayo,Erythrina fusca,Brazil,water
bucayo,Erythrina fusca,Tanzania,water
,Erythrina haerdii,Tanzania,
,Erythrina hazomboay,Madagascar,
redcardinal,Erythrina herbacea,Mexico,
redcardinal,Erythrina herbacea,United States,
dwarf erythrina,Erythrina humeana,South Africa,
,Erythrina latissima,South Africa,
Sacred Coral-tree,Erythrina lysistemon,South Africa,
,Erythrina madagascariensis,Madagascar,
,Erythrina verna,Brazil,
,Erythrina perrieri,Madagascar,forest
,Erythrina sacleuxii,Kenya,
,Erythrina sacleuxii,Tanzania,
,Erythrina schliebenii,Tanzania,
,Erythrina senegalensis,Cameroon,
,Erythrina senegalensis,Chad,
,Erythrina tahitensis,French Polynesia,
,Erythrina tuxtlana,Mexico,
tiger's claw,Erythrina variegata,Australia,
tiger's claw,Erythrina variegata,China,
tiger's claw,Erythrina variegata,Taiwan,
tiger's claw,Erythrina variegata,Tanzania,
Bat's wing coral tree,Erythrina vespertilio,Australia,desert
,Erythrina zeyheri,Lesotho,grasslands; water
,Erythrina zeyheri,South Africa,grasslands; water
,Erythrochiton gymnanthus,Costa Rica,
,Erythrochiton hypophyllanthus,Colombia,forest
,Erythrococca columnaris,São Tomé and Príncipe,
,Erythrococca molleri,São Tomé and Príncipe,
California fawnlily,Erythronium californicum,United States,mountains; forest
,Erythronium caucasicum,Iran,mountains
Coast Range fawnlily,Erythronium elegans,United States,grasslands; water; forest
Pacific fawnlily,Erythronium helenae,United States,mountains; water; coastal
Henderson's fawnlily,Erythronium hendersonii,United States,water
Howell's fawnlily,Erythronium howellii,United States,mountains
,Erythronium idahoense,United States,grasslands; forest
,Erythronium japonicum,China,forest
,Erythronium japonicum,Japan,forest
,Erythronium japonicum,Russia,forest
Klamath fawnlily,Erythronium klamathense,United States,mountains
,Erythronium krylovii,Russia,
midland fawnlily,Erythronium mesochoreum,United States,grasslands
white avalanche-lily,Erythronium montanum,Canada,grasslands; mountains; forest; coastal
white avalanche-lily,Erythronium montanum,United States,grasslands; mountains; forest; coastal
,Erythronium multiscapideum,United States,
giant white fawnlily,Erythronium oregonum,Canada,
giant white fawnlily,Erythronium oregonum,United States,
manyflower fawnlily,Erythronium pluriflorum,United States,
Minnesota fawnlily,Erythronium propullans,United States,water
purple fawnlily,Erythronium purpurascens,United States,mountains
Kaweah Lakes fawnlily,Erythronium pusaterii,United States,water
fawnlily,Erythronium quinaultense,United States,water
mahogany fawnlily,Erythronium revolutum,Canada,
mahogany fawnlily,Erythronium revolutum,United States,
Yellow fawn lily,Erythronium rostratum,United States,
,Erythronium sajanense,Russia,
,Erythronium sibiricum,China,
,Erythronium sibiricum,Kazakhstan,
,Erythronium sibiricum,Mongolia,
,Erythronium sibiricum,Russia,
,Erythronium sulevii,Russia,
Taylor's fawnlily,Erythronium taylorii,United States,mountains
Tuolumne fawnlily,Erythronium tuolumnense,United States,forest
dimpled troutlily,Erythronium umbilicatum,United States,forest
,Erythrophleum chlorostachys,Australia,
,Erythrophleum fordii,China,
,Erythrophleum fordii,Taiwan,
,Erythrophleum fordii,Vietnam,
,Erythrophleum lasianthum,Mozambique,forest
,Erythrophleum lasianthum,South Africa,forest
,Erythrophleum lasianthum,Swaziland,forest
,Erythrophleum succirubrum,Thailand,
,Erythrophysa septentrionalis,Ethiopia,
,Erythrophysa transvaalensis,Botswana,
,Erythrophysa transvaalensis,South Africa,
,Erythrophysa transvaalensis,Zimbabwe,
,Erythroseris amabilis,Yemen,forest
Mexican holdback,Caesalpinia mexicana,Mexico,
Mexican holdback,Caesalpinia mexicana,United States,
,Erythroxylum australe,Australia,grasslands; forest; coastal
,Erythroxylum cambodianum,Cambodia,
,Erythroxylum cambodianum,Laos,
,Erythroxylum cambodianum,Thailand,
,Erythroxylum cambodianum,Vietnam,
,Erythroxylum ecarinatum,Australia,forest
,Erythroxylum ellipticum,Australia,
,Erythroxylum incrassatum,Jamaica,
,Erythroxylum jamaicense,Jamaica,
,Erythroxylum kochummenii,Malaysia,
,Erythroxylum macrophyllum,Costa Rica,
,Erythroxylum minutifolium,Cuba,
,Erythroxylum minutifolium,Dominican Republic,
,Erythroxylum minutifolium,Haiti,
,Erythroxylum monogynum,Sri Lanka,
Colombian coca,Erythroxylum novogranatense,Colombia,
Colombian coca,Erythroxylum novogranatense,Peru,
Colombian coca,Erythroxylum novogranatense,Trinidad and Tobago,
Colombian coca,Erythroxylum novogranatense,United States,
,Erythroxylum obtusifolium,Sri Lanka,
,Erythroxylum pacificum,Peru,
,Erythroxylum platyclados,Comoros,
,Erythroxylum platyclados,Kenya,
,Erythroxylum platyclados,Madagascar,
,Erythroxylum platyclados,Mozambique,
,Erythroxylum platyclados,Tanzania,
,Erythroxylum sechellarum,Seychelles,
,Erythroxylum socotranum,Yemen,
,Erythroxylum zeylanicum,Sri Lanka,
,Escallonia angustifolia,Argentina,
,Escallonia angustifolia,Chile,
,Escallonia angustifolia,Peru,
,Escallonia bifida,Brazil,coastal
,Escallonia bifida,Uruguay,coastal
,Escallonia myrtilloides,Bolivia,mountains; forest
,Escallonia myrtilloides,Colombia,mountains; forest
,Escallonia myrtilloides,Costa Rica,mountains; forest
,Escallonia myrtilloides,Panama,mountains; forest
,Escallonia myrtilloides,Peru,mountains; forest
,Escallonia paniculata,Bolivia,
,Escallonia paniculata,Colombia,
,Escallonia paniculata,Costa Rica,
,Escallonia paniculata,Panama,
,Escallonia paniculata,Peru,
,Escallonia pulverulenta,Chile,coastal
,Escallonia resinosa,Bolivia,forest
,Escallonia resinosa,Peru,forest
tufted poppy,Eschscholzia caespitosa,Mexico,shrubland
tufted poppy,Eschscholzia caespitosa,United States,shrubland
California poppy,Eschscholzia californica,Mexico,
California poppy,Eschscholzia californica,United States,
,Eschscholzia elegans,Mexico,
Lemmon's poppy,Eschscholzia lemmonii,United States,mountains
fryingpans,Eschscholzia lobbii,United States,
pygmy poppy,Eschscholzia minutiflora,Mexico,desert; mountains
pygmy poppy,Eschscholzia minutiflora,United States,desert; mountains
,Eschscholzia palmeri,Mexico,
Channel Island poppy,Eschscholzia ramosa,Mexico,shrubland
Channel Island poppy,Eschscholzia ramosa,United States,shrubland
diamondpetal California poppy,Eschscholzia rhombipetala,United States,
,Eschweilera atropetiolata,Brazil,
,Eschweilera baguensis,Peru,
,Eschweilera bogotensis,Colombia,water
,Eschweilera boltenii,Colombia,
,Eschweilera boltenii,Suriname,
,Eschweilera carinata,Brazil,
,Eschweilera coriacea,Bolivia,
,Eschweilera coriacea,Brazil,
,Eschweilera coriacea,Colombia,
,Eschweilera coriacea,Guyana,
,Eschweilera coriacea,Honduras,
,Eschweilera coriacea,Panama,
,Eschweilera coriacea,Peru,
,Eschweilera coriacea,Suriname,
,Eschweilera cyathiformis,Brazil,
,Eschweilera fanshawei,Guyana,
,Eschweilera integricalyx,Colombia,
Jicarillo,Eschweilera mexicana,Mexico,
,Eschweilera obversa,Brazil,
,Eschweilera potaroensis,Guyana,
,Eschweilera punctata,Brazil,
,Eschweilera punctata,Colombia,
,Eschweilera rabeliana,Brazil,
,Eschweilera pittieri,Colombia,
,Eschweilera pittieri,Costa Rica,
,Eschweilera pittieri,Panama,
,Eschweilera rhododendrifolia,Brazil,
,Eschweilera rionegrense,Brazil,
,Eschweilera rodriguesiana,Brazil,
,Eschweilera roraimensis,Brazil,forest
,Eschweilera subcordata,Brazil,
,Escobedia grandiflora,Argentina,
,Escobedia grandiflora,Bolivia,
,Escobedia grandiflora,Brazil,
,Escobedia grandiflora,Colombia,
,Escobedia grandiflora,Costa Rica,
,Escobedia grandiflora,Guatemala,
,Escobedia grandiflora,Mexico,
,Escobedia grandiflora,Panama,
,Escobedia grandiflora,Paraguay,
,Escobedia grandiflora,Peru,
,Esenbeckia alata,Colombia,
,Esenbeckia leiocarpa,Brazil,
,Esenbeckia runyonii,Mexico,
,Esenbeckia runyonii,United States,
Cotton Ball Cactus,Espostoa lanata,Peru,
,Espostoa melanostele,Peru,
,Esterhazya nanuzae,Brazil,
,Etlingera australasica,Australia,
,Etlingera densiuscula,Papua New Guinea,
,Etlingera vestita,Papua New Guinea,
,Etlingera xanthoparyphe,Papua New Guinea,
swamp doghobble,Eubotrys racemosa,United States,water; coastal; shrubland
redtwig doghobble,Eubotrys recurva,United States,mountains
,Eucalyptus absita,Australia,
,Eucalyptus acaciiformis,Australia,
,Eucalyptus accedens,Australia,
white-mahogany,Eucalyptus acmenoides,Australia,
,Eucalyptus acroleuca,Australia,water
,Eucalyptus aenea,Australia,water
,Eucalyptus aequioperta,Australia,
blue-leaf stringybark,Eucalyptus agglomerata,Australia,
,Eucalyptus aggregata,Australia,water; forest
,Eucalyptus alaticaulis,Australia,
white eucalyptus,Eucalyptus alba,Australia,
white eucalyptus,Eucalyptus alba,Timor-Leste,
,Eucalyptus albens,Australia,
,Eucalyptus albida,Australia,
,Eucalyptus albopurpurea,Australia,
,Eucalyptus alligatrix,Australia,
,Eucalyptus ammophila,Australia,
cabbage gum,Eucalyptus amplifolia,Australia,coastal
,Eucalyptus amygdalina,Australia,
,Eucalyptus ancophila,Australia,
,Eucalyptus andrewsii,Australia,
,Eucalyptus angophoroides,Australia,
,Eucalyptus angularis,Australia,
,Eucalyptus angulosa,Australia,
,Eucalyptus angustissima,Australia,coastal
,Eucalyptus apiculata,Australia,
Whitebark,Eucalyptus apodophylla,Australia,
,Eucalyptus apothalassica,Australia,
,Eucalyptus approximans,Australia,mountains
,Eucalyptus aquatica,Australia,mountains; water
Mount Le Grand Mallee,Eucalyptus aquilina,Australia,
Black Stem Mallee,Eucalyptus arachnaea,Australia,
,Eucalyptus arborella,Australia,
,Eucalyptus arcana,Australia,
,Eucalyptus archeri,Australia,mountains
,Eucalyptus arenacea,Australia,desert
,Eucalyptus arenicola,Australia,water; coastal
Mount House Box,Eucalyptus argillacea,Australia,
,Eucalyptus argophloia,Australia,shrubland
,Eucalyptus argutifolia,Australia,
,Eucalyptus aridimontana,Australia,desert
,Eucalyptus armillata,Australia,
,Eucalyptus aromaphloia,Australia,
,Eucalyptus articulata,Australia,
,Eucalyptus aspersa,Australia,
,Eucalyptus aspratilis,Australia,
,Eucalyptus assimilans,Australia,
brown mallet,Eucalyptus astringens,Australia,
,Eucalyptus atrata,Australia,
,Eucalyptus aurifodina,Australia,
,Eucalyptus badjensis,Australia,
,Eucalyptus baeuerlenii,Australia,mountains
,Eucalyptus baileyana,Australia,coastal
,Eucalyptus bakeri,Australia,
,Eucalyptus balladoniensis,Australia,
,Eucalyptus bancroftii,Australia,
Tenterfield woollybutt,Eucalyptus banksii,Australia,
,Eucalyptus barberi,Australia,
,Eucalyptus baudiniana,Australia,
,Eucalyptus baueriana,Australia,
brown stringybark,Eucalyptus baxteri,Australia,
,Eucalyptus beaniana,Australia,
Beard's Malleee,Eucalyptus beardiana,Australia,
bull mallee,Eucalyptus behriana,Australia,
,Eucalyptus bensonii,Australia,
,Eucalyptus benthamii,Australia,water
,Eucalyptus beyeriana,Australia,
,Eucalyptus bigalerita,Australia,water
,Eucalyptus biturbinata,Australia,
,Eucalyptus blakelyi,Australia,
,Eucalyptus blaxellii,Australia,
,Eucalyptus blaxlandii,Australia,
,Eucalyptus boliviana,Australia,
,Eucalyptus bosistoana,Australia,
southern mahogany,Eucalyptus botryoides,Australia,forest; coastal
,Eucalyptus brachyandra,Australia,
,Eucalyptus brachycalyx,Australia,
,Eucalyptus brandiana,Australia,water
,Eucalyptus brevifolia,Australia,
,Eucalyptus brevipes,Australia,
,Eucalyptus brevistylis,Australia,
applebox,Eucalyptus bridgesiana,Australia,
,Eucalyptus brockwayi,Australia,
,Eucalyptus brookeriana,Australia,
,Eucalyptus broviniensis,Australia,
,Eucalyptus brownii,Australia,water
,Eucalyptus bunyip,Australia,
,Eucalyptus buprestium,Australia,
"Burdett Gum,",Eucalyptus burdettiana,Australia,
Faulconbridge Mallee Ash,Eucalyptus burgessiana,Australia,
Burracoppin Mallee,Eucalyptus burracoppinensis,Australia,
,Eucalyptus cadens,Australia,water
,Eucalyptus caesia,Australia,
,Eucalyptus cajuputea,Australia,
,Eucalyptus calcareana,Australia,
,Eucalyptus calcicola,Australia,
,Eucalyptus caleyi,Australia,
,Eucalyptus caliginosa,Australia,
,Eucalyptus calycogona,Australia,
,Eucalyptus calyerup,Australia,
river redgum,Eucalyptus camaldulensis,Australia,water
,Eucalyptus cambageana,Australia,water
,Eucalyptus cameronii,Australia,
,Eucalyptus camfieldii,Australia,
,Eucalyptus campanulata,Australia,
silver-top gimlet,Eucalyptus campaspe,Australia,
Broad-leaved Sally,Eucalyptus camphora,Australia,mountains; water
,Eucalyptus canaliculata,Australia,
,Eucalyptus canescens,Australia,
,Eucalyptus canobolensis,Australia,
,Eucalyptus capillosa,Australia,
,Eucalyptus capitanea,Australia,desert
brown stringybark,Eucalyptus capitellata,Australia,
,Eucalyptus captiosa,Australia,
,Eucalyptus carnea,Australia,coastal
,Eucalyptus carnei,Australia,
,Eucalyptus carolaniae,Australia,
,Eucalyptus castrensis,Australia,
,Eucalyptus celastroides,Australia,
,Eucalyptus cephalocarpa,Australia,
,Eucalyptus ceracea,Australia,
,Eucalyptus cerasiformis,Australia,
,Eucalyptus cernua,Australia,
,Eucalyptus chapmaniana,Australia,mountains; water
,Eucalyptus chartaboma,Australia,
,Eucalyptus chloroclada,Australia,
,Eucalyptus chlorophylla,Australia,
argyle apple,Eucalyptus cinerea,Australia,
sugargum,Eucalyptus cladocalyx,Australia,
,Eucalyptus clelandiorum,Australia,
,Eucalyptus clivicola,Australia,
cloeziana gum,Eucalyptus cloeziana,Australia,
,Eucalyptus cneorifolia,Australia,
Tasmanian snow gum,Eucalyptus coccifera,Australia,
,Eucalyptus codonocarpa,Australia,
,Eucalyptus brachycorys,Australia,
,Eucalyptus concinna,Australia,desert
Bald Island marlock,Eucalyptus conferruminata,Australia,
,Eucalyptus conferta,Australia,
,Eucalyptus confluens,Australia,
,Eucalyptus conglobata,Australia,
,Eucalyptus conglomerata,Australia,water
,Eucalyptus conica,Australia,
,Eucalyptus consideniana,Australia,
,Eucalyptus conspicua,Australia,water
,Eucalyptus coolabah,Australia,
,Eucalyptus cooperiana,Australia,
,Eucalyptus copulans,Australia,mountains
silver-dollar eucalyptus,Eucalyptus cordata,Australia,
yate,Eucalyptus cornuta,Australia,
Crowned Mallee,Eucalyptus coronata,Australia,
,Eucalyptus corrugata,Australia,
,Eucalyptus corticosa,Australia,
,Eucalyptus corynodes,Australia,
,Eucalyptus cosmophylla,Australia,water; shrubland
,Eucalyptus costuligera,Australia,
narrowleaf red ironbark,Eucalyptus crebra,Australia,forest
,Eucalyptus crenulata,Australia,
,Eucalyptus creta,Australia,
,Eucalyptus cretata,Australia,
,Eucalyptus croajingolensis,Australia,
,Eucalyptus cullenii,Australia,
,Eucalyptus cunninghamii,Australia,mountains
,Eucalyptus cupularis,Australia,
,Eucalyptus curtisii,Australia,
,Eucalyptus cyanophylla,Australia,
,Eucalyptus cyclostoma,Australia,
,Eucalyptus cylindriflora,Australia,
,Eucalyptus cylindrocarpa,Australia,
mountain gray gum,Eucalyptus cypellocarpa,Australia,mountains; forest
White gum,Eucalyptus dalrympleana,Australia,mountains
slaty gum,Eucalyptus dawsonii,Australia,
tumbledown gum,Eucalyptus dealbata,Australia,
roundleaf gum,Eucalyptus deanei,Australia,mountains
,Eucalyptus decolor,Australia,
,Eucalyptus decorticans,Australia,
,Eucalyptus deflexa,Australia,water
Indonesian gum,Eucalyptus deglupta,Philippines,forest
alpine-ash,Eucalyptus delegatensis,Australia,mountains
,Eucalyptus delicata,Australia,
,Eucalyptus dendromorpha,Australia,
,Eucalyptus densa,Australia,
,Eucalyptus denticulata,Australia,
,Eucalyptus depauperata,Australia,water
,Eucalyptus desmondensis,Australia,
,Eucalyptus deuaensis,Australia,
,Eucalyptus dielsii,Australia,
,Eucalyptus distans,Australia,
karri,Eucalyptus diversicolor,Australia,
,Eucalyptus diversifolia,Australia,coastal
broadleaf peppermint gum,Eucalyptus dives,Australia,
,Eucalyptus dolichorhyncha,Australia,
spearwood,Eucalyptus doratoxylon,Australia,
,Eucalyptus dorrigoensis,Australia,
Drummond's Gum,Eucalyptus drummondii,Australia,
,Eucalyptus dumosa,Australia,
,Eucalyptus dundasii,Australia,
,Eucalyptus dunnii,Australia,
,Eucalyptus dura,Australia,
,Eucalyptus dwyeri,Australia,
,Eucalyptus educta,Australia,
,Eucalyptus effusa,Australia,
,Eucalyptus elaeophloia,Australia,
river peppermint gum,Eucalyptus elata,Australia,water
,Eucalyptus elegans,Australia,
,Eucalyptus elliptica,Australia,
,Eucalyptus erectifolia,Australia,
,Eucalyptus eremicola,Australia,
,Eucalyptus eremophila,Australia,desert
,Eucalyptus erosa,Australia,
,Eucalyptus erythrocorys,Australia,
,Eucalyptus erythronema,Australia,
Mallalie,Eucalyptus eudesmioides,Australia,desert
thin-leaf stringybark,Eucalyptus eugenioides,Australia,
,Eucalyptus ewartiana,Australia,
,Eucalyptus exigua,Australia,
,Eucalyptus exilipes,Australia,
,Eucalyptus expressa,Australia,
,Eucalyptus exserta,Australia,
,Eucalyptus extensa,Australia,
,Eucalyptus extrica,Australia,
,Eucalyptus falciformis,Australia,
,Eucalyptus farinosa,Australia,
,Eucalyptus fasciculosa,Australia,shrubland
brown barrel,Eucalyptus fastigata,Australia,
,Eucalyptus fibrosa,Australia,
,Eucalyptus filiformis,Australia,mountains
,Eucalyptus fitzgeraldii,Australia,
Yellow Flowered Mallee,Eucalyptus flavida,Australia,
,Eucalyptus flindersii,Australia,
,Eucalyptus foliosa,Australia,
,Eucalyptus formanii,Australia,
,Eucalyptus forresterae,Australia,
,Eucalyptus fracta,Australia,
Balladonia Gum,Eucalyptus fraseri,Australia,
white-ash,Eucalyptus fraxinoides,Australia,mountains
,Eucalyptus frenchiana,Australia,
,Eucalyptus froggattii,Australia,
,Eucalyptus fulgens,Australia,
,Eucalyptus fusiformis,Australia,
,Eucalyptus gamophylla,Australia,
,Eucalyptus gigantangion,Australia,
,Eucalyptus gillenii,Australia,
curly mallee,Eucalyptus gillii,Australia,
tingiringi gum,Eucalyptus glaucescens,Australia,
,Eucalyptus glaucina,Australia,
,Eucalyptus globoidea,Australia,coastal
Tasmanian bluegum,Eucalyptus globulus,Australia,
eurabbie,Eucalyptus globulus subsp. bicostata,Australia,
Tasmanian bluegum,Eucalyptus globulus subsp. globulus,Australia,
Tasmanian bluegum,Eucalyptus globulus subsp. maidenii,Australia,
,Eucalyptus pseudoglobulus,Australia,
,Eucalyptus glomericassis,Australia,
Jinjulu,Eucalyptus glomerosa,Australia,desert
tuart,Eucalyptus gomphocephala,Australia,water; forest; coastal
Marble Gum,Eucalyptus gongylocarpa,Australia,desert
mountain graygum,Eucalyptus goniocalyx,Australia,
red mallee,Eucalyptus gracilis,Australia,
Flooded Gum,Eucalyptus grandis,Australia,forest; coastal
,Eucalyptus granitica,Australia,
,Eucalyptus gregoriensis,Australia,
,Eucalyptus gregsoniana,Australia,
,Eucalyptus grisea,Australia,
,Eucalyptus guilfoylei,Australia,
cider gum,Eucalyptus gunnii,Australia,
,Eucalyptus divaricata,Australia,
,Eucalyptus gypsophila,Australia,
scribbly gum,Eucalyptus haemastoma,Australia,
,Eucalyptus hallii,Australia,
eucalyptus,Eucalyptus halophila,Australia,water
,Eucalyptus hawkeri,Australia,
,Eucalyptus helidonica,Australia,
,Eucalyptus herbertiana,Australia,
,Eucalyptus houseana,Australia,
,Eucalyptus howittiana,Australia,
,Eucalyptus hypostomatica,Australia,
,Eucalyptus ignorabilis,Australia,
,Eucalyptus imitans,Australia,coastal
,Eucalyptus imlayensis,Australia,
Ironbark,Eucalyptus indurata,Australia,
,Eucalyptus infera,Australia,
,Eucalyptus interstans,Australia,
,Eucalyptus intertexta,Australia,
,Eucalyptus jacksonii,Australia,
Wandi Ironbark,Eucalyptus jensenii,Australia,
,Eucalyptus jimberlanica,Australia,
Johnston's gum,Eucalyptus johnstonii,Australia,
,Eucalyptus kabiana,Australia,
,Eucalyptus kartzoffiana,Australia,
,Eucalyptus kenneallyi,Australia,
,Eucalyptus kitsoniana,Australia,water
,Eucalyptus kochii,Australia,
,Eucalyptus kondininensis,Australia,
,Eucalyptus koolpinensis,Australia,
book-leaf mallee,Eucalyptus kruseana,Australia,
,Eucalyptus kumarlensis,Australia,
,Eucalyptus kybeanensis,Australia,
,Eucalyptus lacrimans,Australia,
,Eucalyptus laeliae,Australia,
,Eucalyptus laevis,Australia,
silvertop stringybark,Eucalyptus laevopinea,Australia,
,Eucalyptus lane-poolei,Australia,
,Eucalyptus langleyi,Australia,
,Eucalyptus lansdowneana,Australia,
,Eucalyptus largeana,Australia,
black-box,Eucalyptus largiflorens,Australia,water
,Eucalyptus latens,Australia,
,Eucalyptus latisinensis,Australia,
bushy yate,Eucalyptus lehmannii,Australia,
,Eucalyptus leptophleba,Australia,
,Eucalyptus leptophylla,Australia,
Goldfields blackbutt,Eucalyptus lesouefii,Australia,
,Eucalyptus leucophloia,Australia,
,Eucalyptus leucophylla,Australia,
white ironbark,Eucalyptus leucoxylon,Australia,
,Eucalyptus ligustrina,Australia,
,Eucalyptus limitaris,Australia,
,Eucalyptus lirata,Australia,
,Eucalyptus litoralis,Australia,
,Eucalyptus litorea,Australia,
,Eucalyptus livida,Australia,
,Eucalyptus lockyeri,Australia,
,Eucalyptus longicornis,Australia,
woollybutt,Eucalyptus longifolia,Australia,
,Eucalyptus longirostrata,Australia,
,Eucalyptus longissima,Australia,
eucalyptus,Eucalyptus loxophleba,Australia,
yellow-top mallee-ash,Eucalyptus luehmanniana,Australia,
Camden woollybutt,Eucalyptus macarthurii,Australia,water
Eucalyptus mackintii,Eucalyptus mackintyi,Australia,
long-flower marlock,Eucalyptus macrandra,Australia,water
red stringybark,Eucalyptus macrorhyncha,Australia,
,Eucalyptus magnificata,Australia,
,Eucalyptus major,Australia,
,Eucalyptus malacoxylon,Australia,
,Eucalyptus mannensis,Australia,
,Eucalyptus mannifera,Australia,
jarrah,Eucalyptus marginata,Australia,water
,Eucalyptus mckieana,Australia,
,Eucalyptus mcquoidii,Australia,
bullich,Eucalyptus megacarpa,Australia,forest
,Eucalyptus megasepala,Australia,
,Eucalyptus melanoleuca,Australia,
silver-leaf ironbark,Eucalyptus melanophloia,Australia,
,Eucalyptus melanoxylon,Australia,
yellow-box,Eucalyptus melliodora,Australia,
,Eucalyptus merrickiae,Australia,
,Eucalyptus michaeliana,Australia,
,Eucalyptus micranthera,Australia,water
,Eucalyptus microcarpa,Australia,
Australian tallowwood,Eucalyptus microcorys,Australia,forest
,Eucalyptus microneura,Australia,water
,Eucalyptus mimica,Australia,
